date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Fri Jun 6,Antigua and Barbuda,Cuba,World Cup qualifier in Antigua and Barbuda,196 144,919 1281,18% 82%,2025-02-26
Fri Jun 6,Curaçao,Saint Lucia,World Cup qualifier in Curaçao,127 183,1337 1036,91% 9%,2025-02-26
Fri Jun 6,Guatemala,Dominican Republic,World Cup qualifier in Guatemala,81 140,1507 1289,86% 14%,2025-02-26
Fri Jun 6,Nicaragua,Guyana,World Cup qualifier in Nicaragua,119 153,1363 1245,78% 22%,2025-02-26
Fri Jun 6,Suriname,Puerto Rico,World Cup qualifier in Suriname,122 171,1357 1121,87% 13%,2025-02-26
Fri Jun 6,Trinidad and Tobago,Saint Kitts and Nevis,World Cup qualifier in Trinidad and Tobago,108 173,1398 1104,91% 9%,2025-02-26
Sat Jun 7,Albania,Serbia,World Cup qualifier in Albania,53 21,1635 1810,39% 61%,2025-02-26
Sat Jun 7,Andorra,England,World Cup qualifier in Andorra,176 4,1083 2007,0.9% 99.1%,2025-02-26
Sat Jun 7,Austria,Romania,World Cup qualifier in Austria,15 42,1871 1719,81% 19%,2025-02-26
Sat Jun 7,Bosnia and Herzegovina,San Marino,World Cup qualifier in Bosnia and Herzegovina,85 205,1485 849,98.6% 1.4%,2025-02-26
Sat Jun 7,Malta,Lithuania,World Cup qualifier in Malta,149 142,1270 1284,62% 38%,2025-02-26
Sat Jun 7,Greece,Slovakia,Friendly in Greece,20 45,1813 1702,77% 23%,2025-02-26
Sat Jun 7,Latvia,Azerbaijan,Friendly in Latvia,148 107,1276 1399,47% 53%,2025-02-26
Sat Jun 7,Morocco,Tunisia,Friendly in Morocco,23 59,1803 1600,85% 15%,2025-02-26
Sat Jun 7,Anguilla,El Salvador,World Cup qualifier in Anguilla,229 111,623 1391,2% 98%,2025-02-26
Sat Jun 7,Aruba,Haiti,World Cup qualifier in Aruba,200 73,903 1539,4% 96%,2025-02-26
Sat Jun 7,Bahamas,Costa Rica,World Cup qualifier in the Bahamas,210 52,794 1645,1.3% 98.7%,2025-02-26
Sat Jun 7,Belize,Panama,World Cup qualifier in Belize,175 44,1094 1712,5% 95%,2025-02-26
Sat Jun 7,British Virgin Islands,Jamaica,World Cup qualifier in the British Virgin Islands,228 66,627 1572,0.8% 99.2%,2025-02-26
Sat Jun 7,Cayman Islands,Honduras,World Cup qualifier in the Cayman Islands,208 68,829 1561,3% 97%,2025-02-26
Mon Jun 9,Belgium,Wales,World Cup qualifier in Belgium,17 38,1851 1733,78% 22%,2025-02-26
Mon Jun 9,Estonia,Norway,World Cup qualifier in Estonia,116 22,1377 1805,13% 87%,2025-02-26
Mon Jun 9,Faroe Islands,Gibraltar,World Cup qualifier in the Faroe Islands,145 180,1278 1057,86% 14%,2025-02-26
Mon Jun 9,Kazakhstan,North Macedonia,World Cup qualifier in Kazakhstan,99 56,1413 1611,36% 64%,2025-02-26
Mon Jun 9,Liechtenstein,Scotland,Friendly in Liechtenstein,197 34,914 1760,1.3% 98.7%,2025-02-26
Mon Jun 9,Montenegro,Armenia,Friendly in Montenegro,79 100,1521 1412,77% 23%,2025-02-26
Tue Jun 10,China,Bahrain,World Cup qualifier in China,101 77,1410 1528,47% 53%,2025-02-26
Tue Jun 10,Iran,North Korea,World Cup qualifier in Iran,18 106,1837 1403,96% 4%,2025-02-26
Tue Jun 10,Japan,Indonesia,World Cup qualifier in Japan,13 134,1888 1317,98% 2%,2025-02-26
Tue Jun 10,Jordan,Iraq,World Cup qualifier in Jordan,54 62,1618 1582,69% 31%,2025-02-26
Tue Jun 10,Kyrgyzstan,United Arab Emirates,World Cup qualifier in Kyrgyzstan,145 76,1278 1532,29% 71%,2025-02-26
Tue Jun 10,Palestine,Oman,World Cup qualifier in Palestine,104 80,1406 1511,49% 51%,2025-02-26
Tue Jun 10,Saudi Arabia,Australia,World Cup qualifier in Saudi Arabia,75 43,1535 1718,38% 62%,2025-02-26
Tue Jun 10,South Korea,Kuwait,World Cup qualifier in South Korea,31 127,1773 1337,96% 4%,2025-02-26
Tue Jun 10,Uzbekistan,Qatar,World Cup qualifier in Uzbekistan,49 78,1681 1525,81% 19%,2025-02-26
Tue Jun 10,Afghanistan,Syria,Asian Cup qualifier,176 93,1083 1435,12% 88%,2025-02-26
Tue Jun 10,Bangladesh,Singapore,Asian Cup qualifier in Bangladesh,199 178,904 1074,40% 60%,2025-02-26
Tue Jun 10,Brunei,Bhutan,Asian Cup qualifier in Brunei,224 231,665 619,70% 30%,2025-02-26
Tue Jun 10,East Timor,Maldives,Asian Cup qualifier,225 203,659 886,21% 79%,2025-02-26
Tue Jun 10,Hong Kong,India,Asian Cup qualifier in Hong Kong,166 162,1135 1174,59% 41%,2025-02-26
Tue Jun 10,Laos,Nepal,Asian Cup qualifier in Laos,220 194,697 931,32% 68%,2025-02-26
Tue Jun 10,Lebanon,Yemen,Asian Cup qualifier,126 169,1339 1123,78% 22%,2025-02-26
Tue Jun 10,Malaysia,Vietnam,Asian Cup qualifier in Malaysia,152 124,1253 1355,50% 50%,2025-02-26
Tue Jun 10,Philippines,Tajikistan,Asian Cup qualifier in the Philippines,172 136,1119 1304,38% 62%,2025-02-26
Tue Jun 10,Sri Lanka,Taiwan,Asian Cup qualifier in Sri Lanka,217 195,721 923,36% 64%,2025-02-26
Tue Jun 10,Turkmenistan,Thailand,Asian Cup qualifier in Turkmenistan,161 116,1204 1377,40% 60%,2025-02-26
Tue Jun 10,Finland,Poland,World Cup qualifier in Finland,74 46,1538 1700,41% 59%,2025-02-26
Tue Jun 10,Latvia,Albania,World Cup qualifier in Latvia,148 53,1276 1635,18% 82%,2025-02-26
Tue Jun 10,Romania,Cyprus,World Cup qualifier in Romania,42 137,1719 1302,95% 5%,2025-02-26
Tue Jun 10,San Marino,Austria,World Cup qualifier in San Marino,205 15,849 1871,0.5% 99.5%,2025-02-26
Tue Jun 10,Serbia,Andorra,World Cup qualifier in Serbia,21 176,1810 1083,99.2% 0.8%,2025-02-26
Tue Jun 10,Azerbaijan,Hungary,Friendly in Azerbaijan,107 27,1399 1779,17% 83%,2025-02-26
Tue Jun 10,Belarus,Russia,Friendly in Belarus,88 25,1459 1788,21% 79%,2025-02-26
Tue Jun 10,England,Senegal,Friendly in England,4 32,2007 1771,87% 13%,2025-02-26
Tue Jun 10,Greece,Bulgaria,Friendly in Greece,20 84,1813 1486,92% 8%,2025-02-26
Tue Jun 10,Morocco,Benin,Friendly in Morocco,23 94,1803 1434,94% 6%,2025-02-26
Tue Jun 10,Northern Ireland,Iceland,Friendly in Northern Ireland,69 65,1560 1576,62% 38%,2025-02-26
Tue Jun 10,Slovenia,Bosnia and Herzegovina,Friendly in Slovenia,40 85,1727 1485,88% 12%,2025-02-26
Tue Jun 10,Argentina,Colombia,World Cup qualifier in Argentina,2 7,2107 1979,79% 21%,2025-02-26
Tue Jun 10,Bolivia,Chile,World Cup qualifier in Bolivia,50 39,1659 1728,54% 46%,2025-02-26
Tue Jun 10,Brazil,Paraguay,World Cup qualifier in Brazil,5 29,1997 1774,87% 13%,2025-02-26
Tue Jun 10,Peru,Ecuador,World Cup qualifier in Peru,41 12,1723 1910,38% 62%,2025-02-26
Tue Jun 10,Uruguay,Venezuela,World Cup qualifier in Uruguay,9 37,1949 1735,86% 14%,2025-02-26
Tue Jun 10,Costa Rica,Trinidad and Tobago,World Cup qualifier in Costa Rica,52 108,1645 1398,88% 12%,2025-02-26
Tue Jun 10,Cuba,Bermuda,World Cup qualifier in Cuba,144 165,1281 1143,80% 20%,2025-02-26
Tue Jun 10,Dominican Republic,Dominica,World Cup qualifier in the Dominican Republic,140 188,1289 980,91% 9%,2025-02-26
Tue Jun 10,El Salvador,Suriname,World Cup qualifier in El Salvador,111 122,1391 1357,68% 32%,2025-02-26
Tue Jun 10,Guyana,Montserrat,World Cup qualifier in Guyana,153 189,1245 952,91% 9%,2025-02-26
Tue Jun 10,Haiti,Curaçao,World Cup qualifier in Haiti,73 127,1539 1337,85% 15%,2025-02-26
Tue Jun 10,Honduras,Antigua and Barbuda,World Cup qualifier in Honduras,68 196,1561 919,98.6% 1.4%,2025-02-26
Tue Jun 10,Jamaica,Guatemala,World Cup qualifier in Jamaica,66 81,1572 1507,72% 28%,2025-02-26
Tue Jun 10,Panama,Nicaragua,World Cup qualifier in Panama,44 119,1712 1363,93% 7%,2025-02-26
Tue Jun 10,Puerto Rico,St Vincent & Grenadines,World Cup qualifier in Puerto Rico,171 167,1121 1133,62% 38%,2025-02-26
Tue Jun 10,Saint Kitts and Nevis,Grenada,World Cup qualifier in Saint Kitts and Nevis,173 179,1104 1065,69% 31%,2025-02-26
Tue Jun 10,Saint Lucia,Barbados,World Cup qualifier in Saint Lucia,183 190,1036 950,74% 26%,2025-02-26
Jul 2025,China,Hong Kong,East Asian Championship in South Korea,101 166,1410 1135,83% 17%,2025-02-26
Jul 2025,China,Japan,East Asian Championship in South Korea,101 13,1410 1888,6% 94%,2025-02-26
